siralama,toplam_net,log_siralama,tahmin_log_siralama,tahmin_siralama
1000,66.62,6.907755278982137,7.578324173919433,1955.3493926500005
5000,59.36,8.517193191416238,8.809038650379902,6694.480436306087
10000,56.98,9.210340371976184,9.180940233858045,9710.278414672086
20000,51.36,9.903487552536127,9.997290606481355,21966.868204264283
30000,49.82,10.308952660644293,10.20582247218314,27060.286038115024
40000,45.96,10.596634733096073,10.699837672551954,44348.65554188989
50000,44.43,10.819778284410283,10.8843095836397,53332.948166289265
60000,44.21,11.002099841204238,10.910305432475644,54737.561380805295
70000,42.96,11.156250521031495,11.055481845406174,63289.951117153396
80000,40.43,11.289781913656018,11.336165529012526,83798.09294674895
90000,39.61,11.407564949312402,11.42335991818174,91432.83318743316
100000,39.11,11.512925464970229,11.475619473221855,96338.13035138867
110000,38.252,11.608235644774552,11.563694318236477,105207.96803935851
120000,37.394,11.695247021764184,11.649744142440268,114662.02215905665
130000,36.536,11.77528972943772,11.733768945833223,124712.82158549636
140000,35.678,11.84939770159144,11.815768728415346,135370.2273183024
150000,34.82,11.918390573078392,11.895743490186636,146641.11559341944
160000,34.02,11.982929094215963,11.968487719296002,157705.98425212587
170000,33.22,12.043553716032399,12.039471453028073,169307.4298777576
180000,32.42,12.100712129872347,12.108694691382844,181442.6112781084
190000,31.62,12.154779351142624,12.176157434360317,194105.56399569017
200000,30.82,12.206072645530174,12.241859681960493,207287.02001352646
